place_id,canonical_name,chapter_index,chapter_title,cell_index,matched_aliases,close_reading_url,snippet
thoreau_main_street_home,Thoreau family house on Main Street,7,6: A Night at the Lyceum,38,Main Street; third-floor attic room,https://closereading.rahuldave.us/books/125/chapters/6967#cell-38,"...e remembered the library book he had checked out earlier that day. It sat on the desk in his third-floor attic room, its spine unopened, its pages uncut. It dealt with facts and observations, not abstractions, and it beckoned like a siren. After a short walk to his mother’s house on Main Street, he c..."
thoreau_main_street_home,Thoreau family house on Main Street,8,7: The Nick of Time,3,Main Street; attic study,https://closereading.rahuldave.us/books/125/chapters/6968#cell-3,"...ason, Thoreau descended from the third-story attic of his mother’s renovated yellow house on Main Street, put on a battered hat, and spent at least four hours sauntering (his word) through the woodlots and forests and pastures that surrounded Concord. Like a window-shopper strolling the bo..."
thoreau_main_street_home,Thoreau family house on Main Street,16,15: Wildfires,38,Main Street,https://closereading.rahuldave.us/books/125/chapters/6976#cell-38,"...nces of human activity. One day toward the end of March he left his mother’s yellow house on Main Street and walked several miles to the nearby town of Acton, where a forest fire had recently consumed a thousand acres of timber. Here was an opportunity to observe a landscape wiped clean, a..."
thoreau_main_street_home,Thoreau family house on Main Street,20,19: The Succession of Forest Trees,3,Main Street,https://closereading.rahuldave.us/books/125/chapters/6980#cell-3,"...two o’clock the weather had cleared enough to allow the marching band to escort a crowd down Main Street and into the Town Hall, where Thoreau delivered what became his most widely read piece of writing during his lifetime. “The Succession of Forest Trees” was soon reprinted in newspapers ..."
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,2,1: The Book from Across the Atlantic,2,house on Sudbury Road,https://closereading.rahuldave.us/books/125/chapters/6962#cell-2,"The house on Sudbury Road belonged to Franklin Benjamin Sanborn, the schoolmaster of a small private academy in Concord, Massachusetts. It was sizable, but then so was Sanborn—so tall and lanky that a Concord fa..."
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,2,1: The Book from Across the Atlantic,25,his home on Sudbury Road,https://closereading.rahuldave.us/books/125/chapters/6962#cell-25,"...Charles Loring Brace to the Concord train station. He sat at his desk on the second floor of his home on Sudbury Road and wrote the abolitionist minister Theodore Parker, who was in Italy at the moment. (Parker was trying to recover from tuberculosis, a disease that would kill him in several months.) S..."
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,17,16: Discord in Concord,34,Sudbury Road,https://closereading.rahuldave.us/books/125/chapters/6977#cell-34,"A carriage was waiting on Sudbury Road, and the group lifted Sanborn off his feet and approached it. He smashed its door. According to Edward Emerson, who was one of the first to arrive at the scene, Sanborn, “encompassed by..."
concord_lyceum,Concord Town House / Concord Lyceum,0,Front Matter,81,the Lyceum,https://closereading.rahuldave.us/books/125/chapters/6960#cell-81,6 A Night at the Lyceum
concord_lyceum,Concord Town House / Concord Lyceum,5,4: Word of Mouth,14,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6965#cell-14,"...latives until New Year’s Day, when he was scheduled to lecture some twenty miles away at the Concord Lyceum. He took Gray’s copy of the *Origin *with him*, *reading it on the train and introducing the work to Sanborn, Alcott, and Thoreau over dinner. In a matter of days he had completely devo..."
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,1,the Lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-1,A Night at the Lyceum
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,2,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-2,"...o Canada for the second time—Amos Bronson Alcott walked into town, ascended the steps of the Concord Lyceum, and took a seat near the podium. He clasped his gold-headed cane before him, nodded his head to neighbors and acquaintances. Whenever the opportunity presented itself, he talked."
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,8,lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-8,"... these ministers, writers, and philosophers met in one another’s homes, attended sermons and lyceum lectures, and filled newspapers and journals with examples of the “New Thought.”"
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,15,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-15,"Now he sat in the Concord Lyceum, waiting to hear a lecture by Thomas Wentworth Higginson, the former minister and one of the most popular authors at the* Atlantic Monthly*. Higginson regularly contributed essays on ph..."
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,16,The Lyceum; the Lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-16,"On this evening the Lyceum was filled to capacity. After all, Higginson had been closely involved in the Brown affair. He was a hypnotic speaker. Tall, handsome, and indifferent to danger, of all of Brown’s consp..."
concord_lyceum,Concord Town House / Concord Lyceum,8,7: The Nick of Time,16,lyceum,https://closereading.rahuldave.us/books/125/chapters/6968#cell-16,"...w a barbarous community and a civilized community can constitute one state,” he announced to lyceum audiences. “I think we must get rid of slavery, or we must get rid of freedom.” Political compromise was morally repugnant, contrary to logic: “We have attempted to hold together two st..."
concord_lyceum,Concord Town House / Concord Lyceum,8,7: The Nick of Time,22,Town Hall,https://closereading.rahuldave.us/books/125/chapters/6968#cell-22,"...l news from Virginia had been carried on a spring breeze. Two hundred people gathered in the Town Hall to listen to the solemn eulogies. Civic leaders refused to permit the bells of the First Church to mark the occasion, but Alcott believed “it was more fitting to signify our sorrow in t..."
concord_lyceum,Concord Town House / Concord Lyceum,15,14: A Jolt of Recognition,34,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6975#cell-34,"...incorporating ideas he derived from reading Darwin into a new lecture he was writing for the Concord Lyceum. That work was entitled “Wild Apples,” and it is arguably the first piece of literature on either side of the Atlantic to be inspired by the theory of natural selection."
concord_lyceum,Concord Town House / Concord Lyceum,16,15: Wildfires,30,Town Hall,https://closereading.rahuldave.us/books/125/chapters/6976#cell-30,"...on: beginning with the Apple in Eden and down to the wildings in Concord.” Alcott sat in the Town Hall and “listened with uninterrupted interest and delight” while Thoreau punned on Adam and Eve, on crab apples, on Johnny Appleseed. The lecture was a perfect example of Thoreau’s ability ..."
concord_lyceum,Concord Town House / Concord Lyceum,17,16: Discord in Concord,42,Town House,https://closereading.rahuldave.us/books/125/chapters/6977#cell-42,"...lcott, and Thomas Wentworth Higginson, who had come down from Worcester, gathered before the Town House and vowed to protect him “against any Senate’s office.”"
concord_lyceum,Concord Town House / Concord Lyceum,17,16: Discord in Concord,47,Town Hall,https://closereading.rahuldave.us/books/125/chapters/6977#cell-47,"The yard before the Town Hall filled with more cheers and applause, and Sanborn shook and rattled the manacles with greater force, his voice rising with indignation. The Southerners held the entire country as “much ..."
concord_lyceum,Concord Town House / Concord Lyceum,17,16: Discord in Concord,50,Town Hall,https://closereading.rahuldave.us/books/125/chapters/6977#cell-50,"These last words brought about the loudest cheers of all. The area before Town Hall was filled with women holding parasols, men in frock coats and top hats. They shouted and cajoled, clapped their hands. They jeered every time the South was mentioned. At that moment Fr..."
concord_lyceum,Concord Town House / Concord Lyceum,20,19: The Succession of Forest Trees,3,Town Hall,https://closereading.rahuldave.us/books/125/chapters/6980#cell-3,"...ad cleared enough to allow the marching band to escort a crowd down Main Street and into the Town Hall, where Thoreau delivered what became his most widely read piece of writing during his lifetime. “The Succession of Forest Trees” was soon reprinted in newspapers across the country, fir..."
concord_lyceum,Concord Town House / Concord Lyceum,24,23: The Ghost of John Brown,3,Concord Town Hall,https://closereading.rahuldave.us/books/125/chapters/6984#cell-3,"...and were shipped south to fight the secessionists. Louisa and her mother walked daily to the Concord Town Hall, where a society of women sewed “patriotic blue shirts” for the soldiers. “I long to be a man,” Louisa confessed to her diary, “but as I can’t fight, I will content myself with working ..."
concord_lyceum,Concord Town House / Concord Lyceum,25,24: In the Transcendental Graveyard,4,Town House,https://closereading.rahuldave.us/books/125/chapters/6985#cell-4,"...y this season, politics. On November 6, Alcott noted in his journal, he had ventured to the “Town House and cast my vote for Lincoln, and the Republican conventions . . . the first vote I have cast for a president.” Thoreau had done the same, and later that evening the two had cheered the..."
concord_lyceum,Concord Town House / Concord Lyceum,26,Notes,136,the Lyceum,https://closereading.rahuldave.us/books/125/chapters/6986#cell-136,Chapter 6: A Night at the Lyceum
concord_lyceum,Concord Town House / Concord Lyceum,27,Index,205,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6987#cell-205,"Concord Lyceum, [146](#pageMap_146)"
walden_cabin_site,Thoreau cabin site at Walden Pond,8,7: The Nick of Time,7,rough-hewn shack; seventy yards from the shore,https://closereading.rahuldave.us/books/125/chapters/6968#cell-7,"...of land Emerson owned near Walden Pond. In the most celebrated act of his career, he built a rough-hewn shack seventy yards from the shore and commenced his famous experiment to “live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was n..."
walden_cabin_site,Thoreau cabin site at Walden Pond,8,7: The Nick of Time,8,his cabin,https://closereading.rahuldave.us/books/125/chapters/6968#cell-8,"...fforded him a writer’s most precious commodity: time. Each day he sat at the little table in his cabin and worked steadily on a book that would eventually become *A Week on the Concord and Merrimack Rivers,* a pastoral eulogy to his older brother John. Thoreau idealized his brother, who ..."
walden_cabin_site,Thoreau cabin site at Walden Pond,8,7: The Nick of Time,9,his cabin,https://closereading.rahuldave.us/books/125/chapters/6968#cell-9,"...e profound urge many of us feel to make our lives meaningful and worthwhile. Sitting outside his cabin while a chorus of bullfrogs or Canada geese filled the air, observing the subtle, rippling changes in the color of the pond—these pastimes were part of a larger project to fully inhabit..."
harvard_university,Harvard University / Harvard College,1,Preface,1,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6961#cell-1,"...made a disproportionately large impact on American culture. That copy—which today resides at Harvard University—was sent by its author to Asa Gray, a botanist who soon championed the new theory to general and scientific audiences throughout America. Gray passed his heavily annotated book to Charl..."
harvard_university,Harvard University / Harvard College,3,2: Gray’s Botany,2,Harvard College,https://closereading.rahuldave.us/books/125/chapters/6963#cell-2,"...ord belonged to his cousin-by-marriage, Asa Gray, the Fisher Professor of Natural History at Harvard College and one of America’s most prominent scientists. In November, Gray had received a letter from a colleague in England informing him that Darwin’s “book is out & [has] created tremendous f..."
harvard_university,Harvard University / Harvard College,3,2: Gray’s Botany,3,Harvard,https://closereading.rahuldave.us/books/125/chapters/6963#cell-3,"...or gather a specimen for his vast herbarium. His mental stamina was even more impressive. At Harvard he routinely put in sixteen-hour days, chairing countless committees, meeting with students, pledging to write more books and articles than he ever hoped to complete, tending the colleg..."
harvard_university,Harvard University / Harvard College,3,2: Gray’s Botany,5,Harvard,https://closereading.rahuldave.us/books/125/chapters/6963#cell-5,"...twenty-eight when the Wilkes Expedition departed. By the time it returned, four years later, Harvard had hired him on the basis of his taxonomic gifts. Gray could effortlessly summon up thousands of Latin binomial names for plants. He possessed a stunning talent for identifying and cat..."
harvard_university,Harvard University / Harvard College,4,"3: Beetles, Birds, Theories",25,Harvard,https://closereading.rahuldave.us/books/125/chapters/6964#cell-25,Only then did Darwin recall the letter he had sent to his American friend at Harvard.
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,5,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-5,"...rth Longfellow, an urbane presence in a lilac waistcoat; at the other end was Louis Agassiz, Harvard’s famous zoologist, smoking a cigar and savoring his glass of sauterne."
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,6,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-6,"...1859. He had agreed to meet his friend and colleague Jeffries Wyman, a primate anatomist, at Harvard. Wyman was a gaunt, tubercular man with a nose as sharp as an eagle’s beak. He was famous among his students for lecturing beneath the skeleton of an enormous alligator he had reputedly..."
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,7,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-7,"...orer. Among those in attendance were the poet James Russell Lowell, who taught literature at Harvard and edited the *Atlantic Monthly, *and the art historian Charles Eliot Norton, who had just finished translating Dante’s *Vita Nuova. *These men strolled through Boylston Hall, admiring..."
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,8,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-8,"...ce smelled of formaldehyde. It was cluttered with bones and human skulls. (He also taught in Harvard’s medical school, sometimes with his physician brother Morrill.) In these quarters Gray began to discuss *On the Origin of Species.* To his surprise, Norton was already familiar with th..."
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,13,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-13,"...nthusiasm that most people remembered him by. He had come to Cambridge to pay a visit to the Harvard Library, to call on his bright, funny cousin Jane Loring Gray, and to chat with her always-interesting husband. Asa Gray had long admired the young man’s father, an amateur botanist and..."
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,32,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-32,"...e philosopher Chauncey Wright, one of those campus fixtures who haunted the lecture rooms at Harvard. Wright was twenty-nine and already making a name for himself as a mathematical prodigy, an unconventional thinker, and a contributor to the *North American Review *and other periodical..."
harvard_university,Harvard University / Harvard College,5,4: Word of Mouth,33,Harvard,https://closereading.rahuldave.us/books/125/chapters/6965#cell-33,"...rbed him; he read it dutifully but with trepidation. As soon as he passed his copy to Wyman, Harvard’s scholarly community waited to learn what the famously cautious anatomist would say. By January 10, the same day a pirated American edition was published in New York, Gray wrote Darwin..."
harvard_university,Harvard University / Harvard College,6,5: Making a Stir,4,Harvard,https://closereading.rahuldave.us/books/125/chapters/6966#cell-4,"...he flashes of insight coursing through Emerson’s works. In 1851, when he was nineteen and at Harvard, he decided to write the author. His journals were promptly filled with details of a new and worshipful friendship. “Called at Mr E-s,” he wrote in 1855, confiding that the two had disc..."
harvard_university,Harvard University / Harvard College,6,5: Making a Stir,5,Harvard,https://closereading.rahuldave.us/books/125/chapters/6966#cell-5,"In 1855, shortly after graduating from Harvard, Sanborn declared himself “a Theist in religion, a Transcendentalist in philosophy, an Abolitionist in politics. In a word, I am an ultra reformer on almost all points.” Emerson apparen..."
harvard_university,Harvard University / Harvard College,7,6: A Night at the Lyceum,11,Harvard,https://closereading.rahuldave.us/books/125/chapters/6967#cell-11,"... But the movement also met with fierce resistance from conservative thinkers. Francis Bowen, Harvard’s professor of religion and moral philosophy, complained that Emerson and his followers rejected “the aid of observation, and will not trust to experiment. The Baconian mode of discover..."
harvard_university,Harvard University / Harvard College,8,7: The Nick of Time,4,Harvard,https://closereading.rahuldave.us/books/125/chapters/6968#cell-4,"...after reading the works of his fellow villager Ralph Waldo Emerson, while still a student at Harvard. The precise circumstance of their first meeting is unknown. One account has Thoreau’s sister sending the eminent writer copies of her brother’s poetry. Another has Thoreau walking to B..."
harvard_university,Harvard University / Harvard College,8,7: The Nick of Time,8,Harvard,https://closereading.rahuldave.us/books/125/chapters/6968#cell-8,"...thers went hiking together; they fell in love with the same woman. When Henry graduated from Harvard, they founded a short-lived school together. In 1841 John began to show signs of tuberculosis, an often-fatal illness that affected as many as one in four of all New Englanders. But it ..."
harvard_university,Harvard University / Harvard College,9,8: Bones of Contention,2,Harvard,https://closereading.rahuldave.us/books/125/chapters/6969#cell-2,"...d from the Gold Coast of western Africa. These rumors were spread in part by Jeffries Wyman, Harvard’s comparative anatomist, who was president of the society and eager to share information about the creature. In the close-knit, cloistered world of Boston science, word quickly spread, ..."
harvard_university,Harvard University / Harvard College,9,8: Bones of Contention,6,Harvard,https://closereading.rahuldave.us/books/125/chapters/6969#cell-6,"...o members of the society that du Chaillu had generously donated several gorilla specimens to Harvard in the name of science. But his talk focused on the exhibit in New York, which contained “an extensive series from the quite young to the adult animal.” Of the fourteen specimens on dis..."
harvard_university,Harvard University / Harvard College,9,8: Bones of Contention,11,Harvard,https://closereading.rahuldave.us/books/125/chapters/6969#cell-11,"...wrote his English friend Joseph Dalton Hooker the following day. One of Gray’s colleagues at Harvard apparently “had read but part of” Darwin’s book. “He says it is *poor—very poor*!! (entre nous).” Rather than displeasing Gray, this news in fact made him giddy. “The fact he growls ove..."
harvard_university,Harvard University / Harvard College,9,8: Bones of Contention,12,Harvard,https://closereading.rahuldave.us/books/125/chapters/6969#cell-12,"...e vanity,” to keep “the splendid, magnificent letter,” and he relished the outrage of Gray’s Harvard colleague. “It is rich,” he wrote, “about Agassiz.”"
harvard_university,Harvard University / Harvard College,10,9: Agassiz,3,Harvard,https://closereading.rahuldave.us/books/125/chapters/6970#cell-3,"... brought recent scientific discoveries thrillingly to life. On the basis of these qualities, Harvard hired him, and by 1860 he was in the process of consolidating his formidable scientific reputation with an ambitious museum of comparative zoology. From the Commonwealth of Massachusett..."
harvard_university,Harvard University / Harvard College,10,9: Agassiz,9,Harvard,https://closereading.rahuldave.us/books/125/chapters/6970#cell-9,"...ng and “planned on a very high ground.” Back in Cambridge, where he was soon hired to direct Harvard’s new Lawrence Scientific School, Agassiz paid regular visits to Gray’s botanical gardens, perusing his colleague’s herbarium while he puffed on his ubiquitous cigar. He is “a good geni..."
harvard_university,Harvard University / Harvard College,12,11: A Spirited Conflict,19,Harvard,https://closereading.rahuldave.us/books/125/chapters/6972#cell-19,"It had long been an open secret at Harvard that Agassiz felt a visceral repulsion toward black people. His Swiss upbringing might have conditioned this attitude, which would have been reinforced when he studied with Cuvier, who ..."
harvard_university,Harvard University / Harvard College,23,22: At Down House,20,Harvard,https://closereading.rahuldave.us/books/125/chapters/6983#cell-20,"He had been at Harvard nearly thirty years. In all that time he had worked tirelessly to elevate American science, to expand the college’s herbarium and develop its science curriculum. He had written dozens a..."
harvard_university,Harvard University / Harvard College,23,22: At Down House,32,Harvard,https://closereading.rahuldave.us/books/125/chapters/6983#cell-32,"...aralysis soon struck, and nearly two months later, in January 1888, he died. At his funeral, Harvard’s preacher, Francis Greenwood Peabody, read a scriptural passage that provided a religious gloss to Darwin’s notion of the Tree of Life: *Every tree is known by its own fruit: a good ma..."
harvard_university,Harvard University / Harvard College,25,24: In the Transcendental Graveyard,33,Harvard,https://closereading.rahuldave.us/books/125/chapters/6985#cell-33,"*and to those libraries and archives that granted permission to quote and use images—*Harvard’s Houghton Library, Gray Herbarium, Ernst Mayer Library of the Museum of Comparative Zoology, and Countway Library of Medicine; the Concord Free Public Library; the New York Historical ..."
harvard_university,Harvard University / Harvard College,26,Notes,2,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-2,"**GH: **Gray Herbarium, Harvard University"
harvard_university,Harvard University / Harvard College,26,Notes,3,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-3,"**HL:** Amos Bronson Alcott Papers, Houghton Library, Harvard University"
harvard_university,Harvard University / Harvard College,26,Notes,4,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-4,"**MCZ: **Archives of the Museum of Comparative Zoology, Ernst Mayr Library, Harvard University"
harvard_university,Harvard University / Harvard College,26,Notes,16,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-16,"...rles Darwin, *On the Origin of Species: A Facsimile of the First Edition*. Cambridge, Mass.: Harvard University Press, 1964."
harvard_university,Harvard University / Harvard College,26,Notes,35,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-35,"...Trodd, *The Tribunal: Responses to John Brown and the Harpers Ferry Raid* (Cambridge, Mass.: Harvard University Press, 2012), 135."
harvard_university,Harvard University / Harvard College,26,Notes,72,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-72,"...raseInText42) Michael Rawson, *Eden on the Charles: The Making of Boston* (Cambridge, Mass.: Harvard University Press, 2011), 164."
harvard_university,Harvard University / Harvard College,26,Notes,74,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-74,"...) Joan Waugh, *Unsentimental Reformer: The Life of Josephine Shaw Lowell* (Cambridge, Mass.: Harvard University Press, 1997), 65."
harvard_university,Harvard University / Harvard College,26,Notes,83,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-83,"...lan Pred, *Urban Growth and City Systems in the United States, 1840–1860 *(Cambridge, Mass.: Harvard University Press, 1980), 30."
harvard_university,Harvard University / Harvard College,26,Notes,138,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-138,"...notePhraseInText106) Richard Benson Sewall, *The Life of Emily Dickinson *(Cambridge, Mass.: Harvard University Press, 1994), 5."
harvard_university,Harvard University / Harvard College,26,Notes,185,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-185,"...) Walter Johnson, *Soul by Soul: Life Inside the Antebellum Slave Market* (Cambridge, Mass.: Harvard University Press, 1999), 16, 2."
harvard_university,Harvard University / Harvard College,26,Notes,326,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-326,"...Trodd, *The Tribunal: Responses to John Brown and the Harpers Ferry Raid* (Cambridge, Mass.: Harvard University Press, 2012), 55."
harvard_university,Harvard University / Harvard College,26,Notes,620,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-620,"Alcott, Amos Bronson. “Diary,” 1860, 1861. Houghton Library, Harvard University."
harvard_university,Harvard University / Harvard College,26,Notes,669,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-669,"———. *On the Origin of Species: A Facsimile of the First Edition*. Cambridge, Mass.: Harvard University Press, 1964."
harvard_university,Harvard University / Harvard College,26,Notes,690,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-690,"... and Miscellaneous Notebooks of Ralph Waldo Emerson, *vol. 5, *1835–1838*. Cambridge, Mass.: Harvard University Press, 1965."
harvard_university,Harvard University / Harvard College,26,Notes,693,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-693,"...Prose of Ralph Waldo Emerson*. Edited by Ronald A. Bosco and Joel Myerson. Cambridge, Mass.: Harvard University Press, 2015."
harvard_university,Harvard University / Harvard College,26,Notes,719,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-719,"Johnson, Walter. *Soul by Soul: Life Inside the Antebellum Slave Market*. Cambridge, Mass.: Harvard University Press, 1999."
harvard_university,Harvard University / Harvard College,26,Notes,744,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-744,"Numbers, Ronald L. *Darwinism Comes to America*. Cambridge, Mass.: Harvard University Press, 1998."
harvard_university,Harvard University / Harvard College,26,Notes,752,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-752,"Rawson, Michael. *Eden on the Charles: The Making of Boston*. Cambridge, Mass.: Harvard University Press, 2011."
harvard_university,Harvard University / Harvard College,26,Notes,770,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-770,"Sewall, Richard Benson. *The Life of Emily Dickinson*. Cambridge, Mass.: Harvard University Press, 1994."
harvard_university,Harvard University / Harvard College,26,Notes,775,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6986#cell-775,"...Trodd. *The Tribunal: Responses to John Brown and the Harpers Ferry Raid*. Cambridge, Mass.: Harvard University Press, 2012."
harvard_university,Harvard University / Harvard College,27,Index,22,Harvard,https://closereading.rahuldave.us/books/125/chapters/6987#cell-22,"at Harvard, [84](#pageMap_84), [86](#pageMap_86), [112](#pageMap_112)"
harvard_university,Harvard University / Harvard College,27,Index,295,Harvard,https://closereading.rahuldave.us/books/125/chapters/6987#cell-295,"Harvard and, [54](#pageMap_54)–55"
harvard_university,Harvard University / Harvard College,27,Index,366,Harvard,https://closereading.rahuldave.us/books/125/chapters/6987#cell-366,"at Harvard, [13](#pageMap_13)–15, [28](#pageMap_28), [33](#pageMap_33), [225](#pageMap_225)"
harvard_university,Harvard University / Harvard College,27,Index,387,Harvard University,https://closereading.rahuldave.us/books/125/chapters/6987#cell-387,"Harvard University, [9](#pageMap_9), [30](#pageMap_30), [31](#pageMap_31), [40](#pageMap_40), [44](#pageMap_44), [54](#pageMap_54), [64](#pageMap_64), [79](#pageMap_79), [81](#pageMap_81), [83](#pageMap_8..."
walden_pond,Walden Pond,2,1: The Book from Across the Atlantic,5,Walden,https://closereading.rahuldave.us/books/125/chapters/6962#cell-5,"...n’s dinner party cared little for New York City or its burgeoning population of orphans. In *Walden, or Life in the Woods, *published five years earlier, he complained that his fellow citizens routinely asked him “what portion of my income I devoted to charitable purposes” and “how ma..."
walden_pond,Walden Pond,2,1: The Book from Across the Atlantic,27,Walden,https://closereading.rahuldave.us/books/125/chapters/6962#cell-27,"...them to his own research in the forests of his native Massachusetts. Five years earlier, in *Walden, *he had written: “To read well, that is, to read true books in a true spirit, is a noble exercise.” Soon after Sanborn’s dinner, he noted in his journal, “A man receives only what he i..."
